Player;Season;Decade;Age;Team;Team_Win_Percentage;Games_Played_Percentage;Games_Started_Percentage;Player_Ranking;Minutes_Played_per_Game;Points_per_Game;Rebounds_per_Game ;Assists_per_Game ;Steals_per_Game;Blocks_per_Game;Turnovers_per_Game;Personal_Fouls_per_Game ;Field_Goals_Made_per_Game;Field_Goals_Attempted_per_Game;FG_Percentage;eFG_Percentage;Free_Throws_Made_per_Game;Free_Throws_Attempted_per_Game;FT_Percentage;TS_Percentage;PER;WS_per_48_Minutes;BPM;MVP_Share;MVP
Dan Roundfield;1981-82;1980s;28;ATL;0.512;0.744;0.951;1;36.3;18.6;11.8;2.7;1;1.5;3;3.4;7;14.9;0.466;0.466;4.7;6.1;0.76;0.527;19.5;0.141;3.3;0.02;0
Larry Bird;1981-82;1980s;25;BOS;0.768;0.939;0.753;1;38;22.9;10.9;5.8;1.9;0.9;3.3;3.2;9.2;18.4;0.503;0.507;4.3;4.9;0.863;0.557;22.6;0.205;7.5;0.588;0
Robert Parish;1981-82;1980s;28;BOS;0.768;0.976;0.975;2;31.7;19.9;10.8;1.8;0.9;2.4;2.8;3.3;8.4;15.4;0.542;0.542;3.2;4.4;0.71;0.571;22.6;0.19;3.8;0.19;0
Artis Gilmore;1981-82;1980s;32;CHI;0.415;1;1;1;34.1;18.5;10.2;1.7;0.6;2.7;2.8;3.5;6.7;10.2;0.652;0.653;5.2;6.7;0.768;0.702;22.4;0.208;4.5;0;0
Jay Vincent;1981-82;1980s;22;DAL;0.341;0.988;0.765;1;32.4;21.4;7;2.2;1.1;0.3;2.4;3.8;8.9;17.9;0.497;0.497;3.6;5;0.716;0.532;18.7;0.102;0.3;0.001;0
Alex English;1981-82;1980s;28;DEN;0.561;1;1;1;36.8;25.4;6.8;5.3;1.1;1.5;3.2;3.2;10.4;18.9;0.551;0.551;4.5;5.4;0.84;0.596;22.2;0.152;4.1;0.017;0
Dan Issel;1981-82;1980s;33;DEN;0.561;0.988;1;2;30.5;22.9;7.5;2.2;0.8;0.7;2.1;3;8;15.3;0.527;0.528;6.7;8.1;0.834;0.608;23.1;0.19;1.3;0.004;0
Kiki Vandeweghe;1981-82;1980s;23;DEN;0.561;1;0.951;3;33.8;21.5;5.6;3;0.6;0.4;2.3;2.6;8.6;15.4;0.56;0.561;4.2;4.9;0.857;0.612;18.9;0.133;0.9;0;0
Kelly Tripucka;1981-82;1980s;22;DET;0.476;1;1;1;37.5;21.6;5.4;3.3;1.1;0.2;3.4;2.9;7.8;15.6;0.496;0.498;6;7.6;0.797;0.57;16.4;0.117;1.2;0.02;0
Isiah Thomas;1981-82;1980s;20;DET;0.476;0.878;1;2;33.8;17;2.9;7.8;2.1;0.2;4.2;3.5;6.3;14.8;0.424;0.432;4.2;6;0.704;0.487;14.5;0.046;-1;0.004;0
Bernard King;1981-82;1980s;25;GSW;0.549;0.963;0.975;1;36.2;23.2;5.9;3.6;1;0.3;3.4;3.6;9.4;16.5;0.566;0.567;4.5;6.3;0.705;0.6;19.8;0.147;2.7;0.014;0
World B. Free;1981-82;1980s;28;GSW;0.549;0.951;1;2;35.8;22.9;3.2;5.4;0.9;0.1;2.7;2.8;8.3;18.6;0.448;0.451;6.1;8.3;0.74;0.515;18.2;0.118;0.1;0;0
Moses Malone;1981-82;1980s;26;HOU;0.561;0.988;1;1;42;31.1;14.7;1.8;0.9;1.5;3.6;2.6;11.7;22.5;0.519;0.519;7.8;10.2;0.762;0.576;26.8;0.218;4.3;0.735;1
Kareem Abdul-Jabbar;1981-82;1980s;34;LAL;0.695;0.927;1;2;35.2;23.9;8.7;3;0.8;2.7;3;2.9;9.9;17.1;0.579;0.579;4.1;5.8;0.706;0.608;23.4;0.192;4.3;0.045;0
Magic Johnson;1981-82;1980s;22;LAL;0.695;0.951;0.987;1;38.3;18.6;9.6;9.5;2.7;0.4;3.7;2.9;7.1;13.3;0.537;0.54;4.2;5.6;0.76;0.59;22.9;0.207;8.3;0.097;0
Jamaal Wilkes;1981-82;1980s;28;LAL;0.695;1;1;3;35.4;21.1;4.8;1.7;1.1;0.3;2;2.9;9.1;17.3;0.525;0.525;3;4.1;0.732;0.554;16.5;0.127;-0.7;0.001;0
Sidney Moncrief;1981-82;1980s;24;MIL;0.671;0.976;1;1;37.3;19.8;6.7;4.8;1.7;0.3;2.6;2.6;7;13.3;0.523;0.524;5.9;7.2;0.817;0.601;20.1;0.216;5.5;0.146;0
